ID    NAME                    TYPE
1     AnalyzerEngine          Entity
2     RecognizerRegistry      Entity
3     NlpEngine               Entity
4     ContextAwareEnhancer    Entity
5     AppTracer               Entity
6     RegistryLanguageConsis  Rule
7     AllowListMatchMode      Caveat
8     EntityRecognizer        Entity
9     RecognizerResult        Entity
10    NlpArtifacts            Entity
11    AnalyzeAbstractMethod   Rule
12    ContextEnhancement      Caveat
13    RemoveDuplicates        Entity
14    PatternRecognizer       Entity
15    LocalRecognizer         Entity
16    Pattern                 Entity
17    AnalysisExplanation     Entity
18    PatternOrDenyListRequi  Rule
19    ValidationOverridesSco  Caveat
20    BatchAnalyzerEngine     Entity
21    DictAnalyzerResult      Entity
22    PrimitiveTypesOnly      Caveat
23    NestedDictRecursion     Caveat
24    AnalyzerRequest         Entity
25    AdHocRecognizerDeseria  Caveat
26    DefaultRegexFlags       Caveat
27    AnalysisExplanationSco  Caveat
28    AnalysisExplanationFil  Entity
29    NlpEnginePackage        Entity
30    SpacyNlpEngine          Entity
31    StanzaNlpEngine         Entity
32    TransformersNlpEngine   Entity
33    NlpEngineProvider       Entity
34    NerModelConfiguration   Entity
35    ModelToPresidioEntityM  Entity
36    AggregationStrategyVal  Caveat
37    AlignmentModeValidatio  Caveat
38    LowScoreEntityMultipli  Rule
39    SpacyHuggingfacePipeli  Caveat
40    DualModelConfiguration  Rule
41    TransformersNlpEngineD  Entity
42    SetKeywordsMethod       Entity
43    DefaultScoreCaveat      Caveat
44    NlpEngineNotSerializab  Caveat
45    StanzaTokenizer         Entity
46    LoadPipelineFunction    Entity
47    StanzaOptionalImport    Caveat
48    DeviceDetector          Entity
49    ModelMustBeLoadedBefor  Caveat
50    UnmappedEntitiesKeptWi  Caveat
51    SpacyNlpEngineDefinedI  Rule
52    ConfigurationValidator  Entity
53    MutualExclusionConfFil  Caveat
54    EngineAvailabilityChec  Rule
55    LazyModuleGetattr       Entity
56    PresidioDeviceEnvVar    Rule
57    CudaFallbackToCpu       Caveat
58    MpsNotSupported         Caveat
59    ThreadSafeSingleton     Rule
60    NlpEngineIsAbstract     Caveat
61    AnonymizerEngine        Entity
62    EngineBase              Entity
63    ConflictResolutionStra  Entity
64    OperatorConfig          Entity
65    DefaultReplaceOperator  Rule
66    ConflictResolutionMerg  Caveat
67    WhitespaceMerge         Caveat
68    DeanonymizeEngine       Entity
69    OperatorType            Entity
70    OperatorsFactory        Entity
71    DeanonymizerExtensibil  Rule
72    PresidioAnalyzer        Entity
73    PresidioAnonymizer      Entity
74    PresidioImageRedactor   Entity
75    PresidioStructured      Entity
76    AutomatedDetectionLimi  Caveat
77    ReadmeFile              Entity
78    SecurityPolicy          Rule
79    VulnerabilityReporting  Rule
80    NoPublicDisclosure      Caveat
81    CoordinatedVulnerabili  Rule
82    PresidioMetaPackage     Entity
83    HashOperatorRandomSalt  Caveat
84    CountryRecognizersDisa  Caveat
85    MD5HashDeprecated       Caveat
