ID    SOURCE  TARGET  RELATION        WEIGHT
1     1       2       DEPENDS_ON      1
2     1       3       DEPENDS_ON      1
3     1       4       DEPENDS_ON      0.8
4     1       5       DEPENDS_ON      0.3
5     6       1       DEFINED_IN      1
6     7       1       DEFINED_IN      0.5
7     8       9       DEPENDS_ON      1
8     8       10      DEPENDS_ON      0.5
9     11      8       DEFINED_IN      1
10    12      8       DEFINED_IN      0.5
11    13      9       DEPENDS_ON      1
12    13      8       DEFINED_IN      1
13    14      15      DEPENDS_ON      1
14    14      16      DEPENDS_ON      0.8
15    14      9       DEPENDS_ON      0.8
16    14      17      DEPENDS_ON      0.5
17    14      8       DEPENDS_ON      0.7
18    18      14      DEFINED_IN      1
19    19      14      DEFINED_IN      0.8
20    20      1       DEPENDS_ON      1
21    20      21      DEPENDS_ON      0.8
22    20      10      DEPENDS_ON      0.5
23    22      20      DEFINED_IN      0.7
24    23      20      DEFINED_IN      0.5
25    24      14      DEPENDS_ON      0.8
26    24      24      DEFINED_IN      1
27    25      14      DEPENDS_ON      1
28    26      24      DEFINED_IN      0.5
29    17      28      DEFINED_IN      1
30    27      17      DEPENDS_ON      0.5
31    30      3       DEPENDS_ON      1
32    31      3       DEPENDS_ON      1
33    32      3       DEPENDS_ON      1
34    33      3       DEPENDS_ON      0.8
35    29      34      DEPENDS_ON      0.5
36    29      10      DEPENDS_ON      0.5
37    29      3       DEPENDS_ON      1
38    34      35      DEPENDS_ON      0.8
39    34      36      DEPENDS_ON      0.5
40    34      37      DEPENDS_ON      0.5
41    38      34      DEFINED_IN      0.7
42    32      30      DEPENDS_ON      1
43    32      34      DEPENDS_ON      0.8
44    32      39      DEPENDS_ON      1
45    40      32      DEPENDS_ON      0.7
46    41      32      DEFINED_IN      1
47    10      3       DEPENDS_ON      0.8
48    42      3       DEPENDS_ON      1
49    42      10      DEFINED_IN      1
50    43      10      DEFINED_IN      0.5
51    44      10      DEFINED_IN      0.5
52    31      30      DEPENDS_ON      1
53    31      46      DEPENDS_ON      1
54    31      34      DEPENDS_ON      0.5
55    31      48      DEPENDS_ON      0.5
56    46      45      DEPENDS_ON      1
57    47      31      CONFLICTS_WITH  0.5
58    30      3       DEPENDS_ON      1
59    30      34      DEPENDS_ON      0.8
60    30      10      DEPENDS_ON      0.8
61    30      48      DEPENDS_ON      0.5
62    49      30      DEPENDS_ON      0.7
63    50      34      DEPENDS_ON      0.5
64    51      30      DEFINED_IN      1
65    33      30      DEPENDS_ON      0.8
66    33      31      DEPENDS_ON      0.8
67    33      32      DEPENDS_ON      0.8
68    33      52      DEPENDS_ON      1
69    33      34      DEPENDS_ON      0.7
70    53      33      DEFINED_IN      1
71    54      33      DEFINED_IN      1
72    48      56      DEPENDS_ON      0.5
73    55      48      DEPENDS_ON      1
74    55      59      DEPENDS_ON      1
75    57      48      DEFINED_IN      0.8
76    58      48      DEFINED_IN      0.5
77    3       10      DEPENDS_ON      1
78    3       60      DEPENDS_ON      0.5
79    61      62      DEPENDS_ON      1
80    61      63      DEPENDS_ON      0.8
81    61      64      DEPENDS_ON      0.7
82    61      9       DEPENDS_ON      0.8
83    65      61      DEFINED_IN      1
84    66      61      DEFINED_IN      0.8
85    67      61      DEFINED_IN      0.7
86    68      62      DEPENDS_ON      1
87    68      69      DEPENDS_ON      0.8
88    68      70      DEPENDS_ON      0.8
89    68      68      DEFINED_IN      1
90    71      68      DEPENDS_ON      0.5
91    73      72      DEPENDS_ON      1
92    74      72      DEPENDS_ON      0.8
93    75      72      DEPENDS_ON      0.8
94    76      72      CONFLICTS_WITH  0.5
95    77      72      DEFINED_IN      0.1
96    78      79      DEPENDS_ON      0.8
97    79      80      DEPENDS_ON      1
98    78      81      DEPENDS_ON      0.7
99    82      72      DEPENDS_ON      1
100   82      73      DEPENDS_ON      1
101   75      72      DEPENDS_ON      0.8
102   75      73      DEPENDS_ON      0.8
103   74      72      DEPENDS_ON      0.8
104   83      73      DEFINED_IN      1
105   84      72      DEFINED_IN      0.8
106   85      73      DEFINED_IN      0.5
