ID    SOURCE  TARGET  RELATION        WEIGHT
1     1       5       DEPENDS_ON      0.8
2     1       6       DEPENDS_ON      0.8
3     1       7       DEPENDS_ON      0.8
4     1       4       DEPENDS_ON      1
5     2       3       DEPENDS_ON      1
6     2       4       DEPENDS_ON      1
7     3       8       DEPENDS_ON      1
8     2       1       DEFINED_IN      1
9     3       1       DEFINED_IN      1
10    9       10      DEPENDS_ON      1
11    9       11      DEPENDS_ON      1
12    9       9       DEFINED_IN      1
13    11      12      DEPENDS_ON      1
14    11      13      DEPENDS_ON      1
15    11      14      DEPENDS_ON      0.8
16    13      15      DEPENDS_ON      1
17    12      12      DEFINED_IN      1
18    16      11      DEPENDS_ON      0.5
19    10      14      DEPENDS_ON      0.5
20    10      17      DEPENDS_ON      0.5
21    14      18      DEPENDS_ON      1
22    19      18      DEPENDS_ON      0.7
23    10      10      DEFINED_IN      1
24    20      21      DEPENDS_ON      0.8
25    13      20      DEPENDS_ON      1
26    20      20      DEFINED_IN      1
27    22      20      DEPENDS_ON      0.5
28    23      24      DEPENDS_ON      1
29    23      25      DEPENDS_ON      1
30    23      28      DEPENDS_ON      1
31    24      27      DEPENDS_ON      1
32    25      27      DEPENDS_ON      1
33    27      26      DEPENDS_ON      1
34    26      29      DEPENDS_ON      0.5
35    30      26      DEPENDS_ON      0.8
36    23      30      DEPENDS_ON      0.5
37    31      32      DEFINED_IN      1
38    33      31      DEPENDS_ON      0.5
39    34      35      DEPENDS_ON      0.8
40    34      33      DEPENDS_ON      0.5
41    36      37      DEPENDS_ON      1
42    36      38      DEPENDS_ON      1
43    36      41      DEPENDS_ON      1
44    36      44      DEPENDS_ON      0.8
45    36      39      DEPENDS_ON      0.7
46    36      40      DEPENDS_ON      0.7
47    36      42      DEPENDS_ON      0.8
48    39      41      DEPENDS_ON      1
49    43      42      DEPENDS_ON      1
50    39      40      CONFLICTS_WITH  1
51    46      37      DEFINED_IN      1
52    47      36      DEPENDS_ON      1
53    48      5       DEPENDS_ON      1
54    48      6       DEPENDS_ON      1
55    48      52      DEPENDS_ON      1
56    48      51      DEPENDS_ON      0.5
57    48      53      DEPENDS_ON      0.5
58    50      6       DEPENDS_ON      1
59    48      50      DEPENDS_ON      1
60    49      48      DEPENDS_ON      1
61    49      53      DEPENDS_ON      0.5
62    57      50      DEFINED_IN      1
63    55      48      DEFINED_IN      0.5
64    54      48      DEFINED_IN      0.5
65    56      48      DEFINED_IN      0.5
66    58      58      DEFINED_IN      1
67    59      60      DEPENDS_ON      1
68    59      59      DEFINED_IN      1
69    63      61      DEPENDS_ON      1
70    62      61      DEPENDS_ON      1
71    64      62      DEPENDS_ON      1
72    65      62      DEPENDS_ON      1
73    66      61      DEPENDS_ON      1
74    67      61      DEPENDS_ON      1
75    62      70      DEPENDS_ON      0.8
76    68      63      DEPENDS_ON      0.8
77    68      64      DEPENDS_ON      0.8
78    68      65      DEPENDS_ON      0.8
79    68      66      DEPENDS_ON      0.8
80    68      67      DEPENDS_ON      0.8
81    72      76      DEPENDS_ON      1
82    72      75      DEPENDS_ON      0.8
83    74      73      DEPENDS_ON      1
84    74      72      DEPENDS_ON      1
85    74      79      DEPENDS_ON      0.7
86    73      76      DEPENDS_ON      1
87    79      75      DEPENDS_ON      1
88    78      72      DEFINED_IN      0.5
89    77      72      DEFINED_IN      0.5
90    80      85      DEFINED_IN      1
91    81      85      DEFINED_IN      1
92    82      85      DEFINED_IN      1
93    82      81      DEPENDS_ON      1
94    85      83      DEPENDS_ON      1
95    84      81      DEFINED_IN      0.8
96    51      86      DEPENDS_ON      1
97    51      87      DEPENDS_ON      1
98    89      86      DEPENDS_ON      1
99    89      87      DEPENDS_ON      1
100   89      88      DEPENDS_ON      1
101   90      89      DEPENDS_ON      1
102   90      91      DEPENDS_ON      0.8
103   86      92      DEPENDS_ON      0.5
104   87      92      DEPENDS_ON      0.5
105   5       97      DEPENDS_ON      1
106   96      93      DEPENDS_ON      0.5
107   96      95      DEPENDS_ON      1
108   93      98      DEPENDS_ON      1
109   95      99      DEPENDS_ON      1
110   5       5       DEFINED_IN      1
111   4       100     DEPENDS_ON      1
112   4       102     DEPENDS_ON      1
113   4       103     DEPENDS_ON      0.8
114   101     104     CONFLICTS_WITH  0.5
115   105     109     DEPENDS_ON      0.7
116   108     105     DEFINED_IN      1
117   110     105     DEFINED_IN      1
118   106     105     DEFINED_IN      0.8
119   111     110     DEPENDS_ON      0.5
120   112     112     DEFINED_IN      1
