ID    NAME                    TYPE
1     PrepareStepFunction     Entity
2     PrepareStepResult       Entity
3     StepResult              Entity
4     PrepareStepOverridesMo  Caveat
5     PrepareStepFile         Entity
6     ReasoningOutput         Entity
7     ProviderMetadata        Entity
8     GenerateTextModule      Entity
9     StreamTextModule        Entity
10    OutputModule            Entity
11    SmoothStream            Entity
12    StopCondition           Entity
13    ToolSet                 Entity
14    GenerateTextIndex       Entity
15    BackwardsCompatibility  Caveat
16    TypedToolError          Entity
17    StaticToolError         Entity
18    DynamicToolError        Entity
19    StaticVsDynamicToolErr  Caveat
20    OutputInterface         Entity
21    TextOutput              Entity
22    ObjectOutput            Entity
23    ArrayOutput             Entity
24    ChoiceOutput            Entity
25    JsonOutput              Entity
26    NoObjectGeneratedError  Entity
27    PartialOutputNoValidat  Caveat
28    ArrayRepairedParseSlic  Caveat
29    Output                  Entity
30    ArrayRepairedParseDrop  Caveat
31    RunToolsTransformation  Entity
32    RunToolsTransformation  Entity
33    NoSuchToolError         Entity
34    MockTracer              Entity
35    ToolApprovalFlow        Caveat
36    ProviderExecutedToolsS  Rule
37    FinishHeldUntilToolRes  Rule
38    SingleRequestTextStrea  Entity
39    ExecuteToolCall         Entity
40    ParseToolCall           Entity
41    IsApprovalNeeded        Entity
42    ToolResultsStreamClosu  Caveat
43    ToolExecutionNonBlocki  Caveat
44    GenerateText            Entity
45    GenerateTextResult      Entity
46    MockLanguageModelV3     Entity
47    PrepareStep             Entity
48    ToolCallCallbacks       Entity
49    CallbackErrorResilienc  Caveat
50    DefaultGenerateTextRes  Entity
51    ExecuteTools            Entity
52    MultiStepLoop           Caveat
53    OutputParsingOnStopOnl  Rule
54    AsContent               Entity
55    GenerateTextIncludeSet  Entity
56    GenerateTextOnStartCal  Entity
57    GenerateTextOnStepStar  Entity
58    GenerateTextOnToolCall  Entity
59    GenerateTextOnToolCall  Entity
60    GenerateTextOnStepFini  Entity
61    GenerateTextOnFinishCa  Entity
62    StopConditionLoop       Caveat
63    DeferredToolCallTracki  Caveat
64    IncludeSettingsMemoryR  Rule
65    GeneratedFile           Entity
66    DefaultGeneratedFile    Entity
67    DefaultGeneratedFileWi  Entity
68    LazyConversionCaching   Caveat
69    OutputUtils             Entity
70    InferCompleteOutput     Entity
71    InferPartialOutput      Entity
72    InferElementOutput      Entity
73    ExecuteToolCallTest     Entity
74    PreliminaryToolResults  Entity
75    DynamicTools            Entity
76    Tool                    Entity
77    DefaultStepResult       Entity
78    ContentPart             Entity
79    ToolCallTypes           Entity
80    StepResultDerivedPrope  Caveat
81    ToResponseMessages      Entity
82    ToResponseMessagesTest  Entity
83    ToolResultSeparation    Rule
84    ProviderExecutedToolsI  Rule
85    EmptyTextPartOmission   Caveat
86    PruneMessages           Entity
87    PruneMessagesTest       Entity
88    ModelMessage            Entity
89    PruneReasoningModes     Caveat
90    PruneToolCallModes      Caveat
91    ToolCallBackwardTracin  Rule
92    RetentionBenchmarkTest  Entity
93    StreamText              Entity
94    ExperimentalIncludeOpt  Caveat
95    MemoryRetentionBehavio  Caveat
96    ToolCallRepairFunction  Entity
97    InvalidToolInputError   Entity
98    TypedToolCall           Entity
99    NeedsApprovalCanBeBool  Caveat
100   ToolApprovalRequestOut  Entity
101   ToolCallRepair          Entity
102   InvalidToolCallReturns  Rule
103   NoSuchToolReturnsInval  Rule
104   RepairToolCallNullFall  Caveat
105   TelemetryRecordSpan     Entity
106   ExecuteTool             Entity
107   NotifyUtil              Entity
108   ToolCallLifecycleCallb  Rule
109   NonSerializableResultI  Caveat
110   LanguageModelUsage      Entity
111   GenerateTextResultTota  Caveat
112   StaticToolCall          Entity
113   DynamicToolCall         Entity
114   DynamicToolCallInvalid  Caveat
115   BaseToolCall            Entity
116   ToolOutput              Entity
117   TypedToolResult         Entity
118   PruneMessagesReasoning  Caveat
119   PruneMessagesToolCallF  Caveat
120   PruneMessagesEmptyRemo  Rule
121   ProviderUtils           Entity
122   ExtractTextContent      Entity
123   LanguageModelV4Content  Entity
124   ExtractTextContentRetu  Caveat
125   ToolResult              Entity
126   Caveat_DynamicVsStatic  Caveat
127   StaticToolResult        Entity
128   DynamicToolResult       Entity
129   ToolResultDiscriminati  Rule
130   OutputText              Entity
131   OutputObject            Entity
132   OutputArray             Entity
133   OutputChoice            Entity
134   OutputJson              Entity
135   PartialJsonParsing      Caveat
136   TextStreamPart          Entity
137   SmoothStreamChunkingSt  Rule
138   BufferFlushBeforeToolC  Caveat
139   SmoothStreamTest        Entity
140   StreamTextResult        Entity
141   UIMessageStream         Entity
142   ToolExecution           Entity
143   MultiStepStreaming      Entity
144   StreamTextTestSuite     Entity
145   ErrorHandlingMustUseOn  Caveat
146   ResponseMessage         Entity
147   UIMessageStreamOptions  Entity
148   StreamAutoConsumption   Caveat
149   ConsumeStreamOptions    Entity
150   StreamTextResultFile    Rule
151   CallbackEvents          Entity
152   OnStartEvent            Entity
153   OnStepStartEvent        Entity
154   OnToolCallStartEvent    Entity
155   OnToolCallFinishEvent   Entity
156   OnStepFinishEvent       Entity
157   OnFinishEvent           Entity
158   CallbackModelInfo       Entity
159   CallbackLifecycleOrder  Rule
160   StreamTextFunction      Entity
161   DefaultStreamTextResul  Entity
162   StitchableStreamArchit  Entity
163   MultiStepToolLoop       Caveat
164   OutputTransformStream   Entity
165   UIMessageStreamIntegra  Entity
166   StopConditionGating     Rule
167   ChunkTimeoutAbort       Caveat
168   StreamTextTransform     Entity
169   EnrichedStreamPart      Entity
170   StreamTextOnErrorCallb  Entity
171   StreamTextOnStepFinish  Entity
172   StreamTextOnChunkCallb  Entity
173   StreamTextOnFinishCall  Entity
174   StreamTextOnAbortCallb  Entity
175   StreamTextIncludeSetti  Entity
176   StreamTextOnStartCallb  Entity
177   StreamTextOnStepStartC  Entity
178   StreamTextOnToolCallSt  Entity
179   StreamTextOnToolCallFi  Entity
180   StreamTeeSplitBufferin  Caveat
181   ExtractReasoningConten  Entity
182   LanguageModelV4Reasoni  Entity
183   GenerateTextTypeTests   Entity
184   OutputTypeInference     Rule
185   CreateToolModelOutput   Entity
186   ProviderExecutedToolRe  Caveat
187   SourcePartsSkipped      Caveat
188   ChunkDetector           Entity
189   ChunkingRegexps         Entity
190   ChunkingMustReturnPref  Caveat
191   NonSmoothableChunksPas  Rule
192   CollectToolApprovals    Entity
193   ToolApprovalWorkflow    Rule
194   ApprovedWithResultIgno  Caveat
195   UnknownApprovalIdThrow  Caveat
196   CollectToolApprovalsTe  Entity
197   DoParseToolCall         Entity
198   ParseProviderExecutedD  Entity
199   InvalidToolCallFallbac  Caveat
200   EmptyInputCoercion      Caveat
201   AsReasoningText         Entity
202   ReasoningPart           Entity
203   CollectedToolApprovals  Entity
204   InvalidToolApprovalErr  Entity
205   ToolCallNotFoundForApp  Entity
206   ToolApprovalRequiresLa  Caveat
207   ApprovalWithExistingRe  Rule
208   StreamTextTypeTests     Entity
209   ElementStreamArrayOnly  Caveat
210   StepCountIs             Entity
211   HasToolCall             Entity
212   IsStopConditionMet      Entity
213   StopConditionOrSemanti  Caveat
214   StaticToolOutputDenied  Entity
215   TypedToolOutputDenied   Entity
216   ValueOf                 Entity
217   StreamTextTelemetry     Entity
218   ToolCallExecution       Entity
219   StreamTextTestSnapshot  Entity
220   ErrorMaskingInStreams   Caveat
221   TelemetryDisabledByDef  Caveat
222   StopWhenMultiStep       Caveat
223   TelemetryTracking       Entity
224   ToolCallFlow            Entity
225   ExtractReasoningMiddle  Entity
226   LanguageModelMiddlewar  Entity
227   GetPotentialStartIndex  Entity
228   ReasoningStreamStateMa  Caveat
229   DelayedTextStartOrderi  Caveat
230   WrapLanguageModel       Entity
231   LanguageModelV4Middlew  Entity
232   MockLanguageModelV4     Entity
233   MiddlewareChaining      Rule
234   MiddlewareArrayImmutab  Caveat
235   MiddlewareIndex         Entity
236   WrapEmbeddingModel      Entity
237   WrapProvider            Entity
238   SimulateStreamingMiddl  Entity
239   AddToolInputExamplesMi  Entity
240   LanguageModelV4Functio  Entity
241   MiddlewareAppendsExamp  Rule
242   OnlyTransformsFunction  Caveat
243   AddToolInputExamplesMi  Entity
244   LanguageModelV4CallOpt  Entity
245   MiddlewareRemovesInput  Rule
246   ProviderToolsPassedUnc  Caveat
247   ExtractJsonMiddleware   Entity
248   DefaultTransform        Entity
249   StreamSuffixBuffering   Caveat
250   CustomTransformBuffers  Caveat
251   DefaultSettingsMiddlew  Entity
252   UserParamsPrecedenceRu  Rule
253   ProviderOptionsDeepMer  Caveat
254   MergeObjects            Entity
255   DefaultSettingsOverrid  Caveat
256   WrapImageModel          Entity
257   DoWrap                  Entity
258   ImageModelMiddleware    Entity
259   AsImageModelV4          Entity
260   MiddlewareOrderingRule  Rule
261   MaxImagesPerCallBindin  Caveat
262   DefaultEmbeddingSettin  Entity
263   DefaultEmbeddingSettin  Entity
264   MockEmbeddingModelV4    Entity
265   HeaderMergingBehavior   Caveat
266   ProviderOptionsMerging  Caveat
267   EmbeddingModelMiddlewa  Entity
268   AsEmbeddingModelV4      Entity
269   WrapProviderTest        Entity
270   WrapProviderSupportsV2  Caveat
271   AsLanguageModelV4       Entity
272   EmbeddingModelV4Middle  Entity
273   EmbeddingModelV4CallOp  Entity
274   MiddlewareMergesDefaul  Rule
275   AsProviderV4            Entity
276   SimulateStreamingConve  Caveat
277   ExtractJsonMiddlewareS  Caveat
278   ExtractJsonMiddlewareC  Caveat
279   StartWithReasoningOpti  Caveat
280   ImageModelV4Middleware  Entity
281   MockImageModelV4        Entity
282   WrapGenerateOrderRule   Caveat
283   LanguageModelV4StreamP  Entity
284   StreamSimulationConver  Caveat
285   SimulateStreamingMiddl  Entity
286   StreamingEventProtocol  Rule
287   AgentModule             Entity
288   ToolLoopAgent           Entity
289   ToolLoopAgentSettings   Entity
290   AgentUIStream           Entity
291   InferAgentUIMessage     Entity
292   DeprecatedExperimental  Caveat
293   ToolLoopAgentOnFinishC  Entity
294   AgentCallParameters     Entity
295   AgentStreamParameters   Entity
296   ToolLoopAgentTypeTests  Entity
297   OnFinishCallbackBidire  Rule
298   PipeAgentUIStreamToRes  Entity
299   CreateAgentUIStream     Entity
300   PipeUIMessageStreamToR  Entity
301   Agent                   Entity
302   ToolLoopAgentOnStepFin  Entity
303   ToolLoopAgentCallbackO  Rule
304   TelemetryIntegrations   Entity
305   AgentInterface          Entity
306   ToolLoopStopCondition   Caveat
307   CallbackMerging         Rule
308   CreateAgentUIStreamRes  Entity
309   ToolToModelOutputConve  Rule
310   OnFinishWithoutOrigina  Caveat
311   UIMessage               Entity
312   InferAgentTools         Entity
313   InferUITools            Entity
314   CreateUIMessageStreamR  Entity
315   ValidateUIMessages      Entity
316   ConvertToModelMessages  Entity
317   BackwardCompatibilityO  Caveat
318   ToolLoopAgentCallbacks  Entity
319   PromptOrMessagesConstr  Caveat
320   AgentVersioning         Rule
321   PromptOrMessagesMutual  Caveat
322   CallSettings            Entity
323   LanguageModel           Entity
324   StopConditionDefault    Caveat
325   ToolLoopAgentOnStartCa  Entity
326   ToolLoopAgentOnStepSta  Entity
327   ToolLoopAgentOnToolCal  Entity
328   ToolLoopAgentOnToolCal  Entity
329   ToolLoopAgentSettingsF  Entity
330   InferAgentUIMessageTyp  Entity
331   AsImageModelV3          Entity
332   ImageModelVersionProxy  Caveat
333   AsImageModelV4Test      Entity
334   MockImageModelV2        Entity
335   MockImageModelV3        Entity
336   ImageModelVersionUpgra  Rule
337   AsLanguageModelV3       Entity
338   LanguageModelV2ToV3Pro  Caveat
339   ConvertV2StreamToV3     Entity
340   ConvertV2FinishReasonT  Entity
341   ConvertV2UsageToV3      Entity
342   LanguageModelV3Spec     Entity
343   LogV2CompatibilityWarn  Entity
344   AsProviderV4Test        Entity
345   MockProviderV3          Entity
346   MockProviderV4          Entity
347   V3ToV4ProviderConversi  Rule
348   AsSpeechModelV4         Entity
349   AsSpeechModelV4Test     Entity
350   MockSpeechModelV2       Entity
351   MockSpeechModelV3       Entity
352   MockSpeechModelV4       Entity
353   SpeechModelVersionAdap  Caveat
354   AsEmbeddingModelV3      Entity
355   EmbeddingModelV2ToV3Co  Caveat
356   MockEmbeddingModelV2    Entity
357   MockEmbeddingModelV3    Entity
358   LogWarnings             Entity
359   ImageModelV2V3Proxy     Caveat
