ID    SOURCE  TARGET  RELATION        WEIGHT
1     1       2       DEPENDS_ON      1
2     1       3       DEPENDS_ON      0.8
3     1       5       DEFINED_IN      1
4     2       5       DEFINED_IN      1
5     4       2       DEPENDS_ON      0.5
6     6       7       DEPENDS_ON      0.5
7     14      8       DEPENDS_ON      1
8     14      9       DEPENDS_ON      1
9     14      10      DEPENDS_ON      0.8
10    14      11      DEPENDS_ON      0.5
11    14      12      DEPENDS_ON      0.5
12    14      13      DEPENDS_ON      0.5
13    15      14      DEFINED_IN      0.5
14    16      17      DEPENDS_ON      1
15    16      18      DEPENDS_ON      1
16    17      13      DEPENDS_ON      1
17    16      13      DEPENDS_ON      0.5
18    19      16      DEFINED_IN      0.5
19    21      20      DEPENDS_ON      1
20    22      20      DEPENDS_ON      1
21    23      20      DEPENDS_ON      1
22    24      20      DEPENDS_ON      1
23    25      20      DEPENDS_ON      1
24    22      26      DEPENDS_ON      0.8
25    23      26      DEPENDS_ON      0.8
26    24      26      DEPENDS_ON      0.8
27    25      26      DEPENDS_ON      0.8
28    27      22      DEFINED_IN      0.5
29    28      23      DEFINED_IN      0.5
30    29      21      DEPENDS_ON      0.3
31    29      22      DEPENDS_ON      0.3
32    29      23      DEPENDS_ON      0.3
33    29      24      DEPENDS_ON      0.3
34    29      25      DEPENDS_ON      0.3
35    22      26      DEPENDS_ON      1
36    23      26      DEPENDS_ON      1
37    24      26      DEPENDS_ON      1
38    25      26      DEPENDS_ON      1
39    27      22      DEFINED_IN      0.5
40    30      23      DEFINED_IN      0.5
41    32      31      DEPENDS_ON      1
42    32      33      DEPENDS_ON      0.5
43    32      34      DEPENDS_ON      0.5
44    32      32      DEFINED_IN      1
45    36      31      DEPENDS_ON      0.8
46    37      31      DEPENDS_ON      0.8
47    35      31      DEPENDS_ON      0.7
48    31      38      DEPENDS_ON      1
49    31      39      DEPENDS_ON      1
50    31      40      DEPENDS_ON      1
51    31      41      DEPENDS_ON      0.8
52    42      31      DEFINED_IN      1
53    43      39      DEFINED_IN      0.8
54    44      45      DEPENDS_ON      1
55    45      3       DEPENDS_ON      1
56    44      46      DEPENDS_ON      0.5
57    44      12      DEPENDS_ON      0.7
58    44      47      DEPENDS_ON      0.7
59    44      48      DEPENDS_ON      0.7
60    49      44      DEFINED_IN      0.8
61    44      51      DEPENDS_ON      1
62    44      50      DEPENDS_ON      1
63    44      12      DEPENDS_ON      0.8
64    44      35      DEPENDS_ON      0.7
65    52      12      DEPENDS_ON      0.8
66    52      51      DEPENDS_ON      0.8
67    53      44      DEFINED_IN      1
68    51      35      DEPENDS_ON      0.5
69    44      50      DEPENDS_ON      1
70    44      51      DEPENDS_ON      1
71    44      54      DEPENDS_ON      0.8
72    44      56      DEPENDS_ON      0.5
73    44      57      DEPENDS_ON      0.5
