ID    NAME                    TYPE
1     DecisionEngine          Entity
2     Applicant               Entity
3     Decision                Entity
4     ProxyDiscrimination     Caveat
5     PostHocExplanation      Caveat
6     NoHumanReview           Rule
7     ContentRanker           Entity
8     ContentItem             Entity
9     RankingConfig           Entity
10    ToxicityFilterDisabled  Caveat
11    DiversityPlacementCave  Caveat
12    ShadowBanNoAppeals      Caveat
13    EngagementOverSafetyRu  Rule
14    BehaviorTracker         Entity
15    AdNetworkAPI            Entity
16    LawEnforcementGateway   Entity
17    NoConsentForMinors      Caveat
18    BiometricSharingWithou  Caveat
19    LocationSharedBeforeCo  Caveat
20    PurgeNotImplemented     Caveat
21    UserProfile             Entity
22    MinorProfile            Entity
23    NoConsentForMinorTrack  Caveat
24    BiometricsSentWithoutW  Caveat
25    ShadowProfileWithoutOp  Caveat
26    FunZoneApp              Entity
27    AdaptiveAlgorithmsDark  Caveat
28    FunCoinsMonetization    Caveat
29    FamilyDashboard         Entity
30    COPPACompliance         Rule
31    ChildDataCollection     Caveat
32    ScreenTimeViolation     Caveat
33    AlignmentWashing        Caveat
34    EthicsBoardAdvisoryOnl  Caveat
35    ResponsibleAiFramework  Entity
36    TransparencyReporting   Entity
37    DomainSpecificValidati  Rule
38    BenchmarkIndependenceR  Rule
39    AiPublicSafetyPlatform  Entity
40    FacialRecognitionModul  Entity
41    RiskScoringAlgorithm    Entity
42    BiasedBenchmarkDataset  Caveat
43    DeceptiveConsentPracti  Caveat
44    DisproportionateEnforc  Caveat
45    RequireIndependentVali  Rule
