ID    SOURCE  TARGET  RELATION        WEIGHT
1     1       2       DEPENDS_ON      1
2     1       3       DEPENDS_ON      1
3     4       2       DEFINED_IN      0.8
4     5       3       DEFINED_IN      0.8
5     6       1       DEFINED_IN      0.7
6     5       4       CONFLICTS_WITH  0.9
7     7       8       DEPENDS_ON      1
8     7       9       DEPENDS_ON      1
9     10      7       DEFINED_IN      0.8
10    11      7       DEFINED_IN      0.8
11    13      10      DEPENDS_ON      0.7
12    14      15      DEPENDS_ON      1
13    14      16      DEPENDS_ON      1
14    17      14      DEFINED_IN      1
15    18      16      DEPENDS_ON      0.8
16    19      15      DEPENDS_ON      0.8
17    14      15      DEPENDS_ON      1
18    14      16      DEPENDS_ON      1
19    14      21      DEPENDS_ON      0.8
20    22      21      DEPENDS_ON      1
21    23      14      DEFINED_IN      1
22    24      16      DEFINED_IN      0.8
23    19      15      DEFINED_IN      0.8
24    20      14      DEFINED_IN      0.7
25    25      14      DEFINED_IN      0.7
26    26      27      DEPENDS_ON      0.8
27    26      28      DEPENDS_ON      0.9
28    26      29      DEPENDS_ON      0.3
29    31      30      CONFLICTS_WITH  1
30    27      32      DEPENDS_ON      0.7
31    28      30      CONFLICTS_WITH  0.8
32    33      35      CONFLICTS_WITH  1
33    34      35      CONFLICTS_WITH  1
34    36      35      DEPENDS_ON      0.5
35    37      33      CONFLICTS_WITH  0.8
36    38      33      CONFLICTS_WITH  0.8
37    40      39      DEPENDS_ON      1
38    41      39      DEPENDS_ON      1
39    40      42      DEPENDS_ON      0.9
40    42      45      CONFLICTS_WITH  0.8
41    43      39      DEFINED_IN      0.7
42    44      39      DEFINED_IN      0.7
